Array	Dye	Tissue	Gene	ExpLevel
2	2	L	32	6.746412
2	2	L	33	7.616284
2	2	L	34	6.981006
2	2	L	35	7.267525
2	2	L	36	8.279951
2	2	L	37	7.128496
2	2	L	38	7.317876
2	2	L	39	7.375882
2	2	L	40	7.106606
2	2	L	41	9.280333
2	2	L	42	8.013343
2	2	L	43	7.32975
2	2	L	44	9.72064
2	2	L	45	7.549609
2	2	L	46	8.301025
2	2	L	47	7.586296
2	2	L	48	7.266129
2	2	L	49	6.697034
2	2	L	50	7.622175
2	2	L	51	7.05445
2	2	L	52	7.619233
2	2	L	53	8.248006
2	2	L	54	7.650645
2	2	L	55	7.813592
2	2	L	56	7.395722
2	2	L	57	7.377759
2	2	L	58	7.934872
2	2	L	59	7.134891
2	2	L	60	7.883069
2	2	L	61	7.805475
2	2	L	62	9.252537
2	2	L	63	7.510431
2	2	L	64	7.721792
2	2	L	65	7.448916
2	2	L	66	7.297768
2	2	L	67	7.63627
2	2	L	68	7.41758
2	2	L	69	7.130099
2	2	L	70	7.32317
2	2	L	71	8.004366
2	2	L	72	8.499436
2	2	L	73	7.618742
2	2	L	74	7.453562
2	2	L	75	7.214504
2	2	L	76	7.080868
2	2	L	77	6.712956
2	2	L	78	6.721426
2	2	L	79	7.03966
2	2	L	80	6.776507
2	2	L	81	7.068172
2	2	L	82	8.153637
2	2	L	83	8.028455
2	2	L	84	8.842749
2	2	L	85	7.850883
2	2	L	86	7.129298
2	2	L	87	7.191429
2	2	L	88	7.503841
2	2	L	89	8.245909
2	2	L	90	7.183871
2	2	L	91	7.607381
2	2	L	92	7.821242
2	2	L	93	8.137396
2	2	L	94	7.912423
2	2	L	95	8.031385
2	2	L	96	8.183677
2	2	L	97	7.222566
2	2	L	98	7.098376
2	2	L	99	6.911747
2	2	L	100	7.371489
